ExternOrderNo,SKU,OrderQty
2001827036,8904223818706.00,1
2001827036,8904223819093.00,1
2001827036,8904223819109.00,1
2001827036,8904223818430.00,1
2001827036,8904223819277.00,1
2001827036,GIFTBOX202002,1
2001827036,8904223818638.00,2
2001827036,SACHETS001,1
2001825261,8904223819024.00,4
2001825261,8904223819291.00,4
2001825261,8904223818638.00,3
2001825261,8904223818669.00,1
2001825261,SACHETS001,1
2001823564,8904223819291.00,2
2001823564,8904223819031.00,2
2001823564,8904223819024.00,2
2001822466,8904223819468.00,2
2001822466,8904223819291.00,8
2001821995,8904223819130.00,1
2001821995,8904223818706.00,1
2001821766,8904223818591.00,2
2001821750,8904223818850.00,1
2001821750,8904223818430.00,1
2001821750,8904223819130.00,1
2001821742,8904223819468.00,1
2001821679,8904223818430.00,1
2001821502,8904223818980.00,1
2001821502,8904223819031.00,2
2001821502,8904223819024.00,2
2001821284,8904223818614.00,1
2001821284,8904223819024.00,1
2001821190,8904223819321.00,1
2001821190,8904223819338.00,1
2001821185,8904223818942.00,2
2001821185,8904223818683.00,2
2001821185,8904223819239.00,1
2001821185,8904223819246.00,1
2001821185,8904223819253.00,1
2001821185,8904223818669.00,1
2001821185,8904223819147.00,1
2001821185,8904223818850.00,1
2001820978,8904223815859.00,1
2001820978,8904223817501.00,1
2001820690,8904223817273.00,1
2001819252,8904223818942.00,1
2001819252,8904223818706.00,1
2001819252,SACHETS001,1
2001818390,8904223819147.00,1
2001818390,8904223818935.00,4
2001818390,8904223818683.00,1
2001817160,8904223818478.00,1
2001817160,8904223819284.00,1
2001817093,8904223816214.00,1
2001817093,8904223818874.00,1
2001817093,8904223819512.00,1
2001817093,8904223818881.00,1
2001817093,8904223819291.00,2
2001817093,8904223819031.00,2
2001817093,8904223819024.00,2
2001817093,8904223818553.00,1
2001816996,8904223818706.00,1
2001816996,8904223818942.00,1
2001816996,8904223818850.00,1
2001816684,8904223816214.00,2
2001816684,8904223818874.00,2
2001816684,8904223818935.00,4
2001816131,8904223816665.00,2
2001816131,8904223819277.00,1
2001815688,8904223816214.00,1
2001815688,8904223818874.00,1
2001814580,8904223818706.00,1
2001813009,8904223816214.00,1
2001813009,8904223818874.00,1
2001813009,8904223818706.00,1
2001813009,8904223818942.00,1
2001813009,8904223818850.00,1
2001812941,8904223818706.00,1
2001812941,8904223818942.00,1
2001812941,8904223818850.00,1
2001812854,8904223818478.00,1
2001812854,8904223819130.00,1
2001812854,8904223819277.00,1
2001812854,8904223819284.00,1
2001812854,GIFTBOX202003,1
2001812854,8904223819291.00,2
2001812854,8904223819031.00,2
2001812854,8904223819024.00,2
2001812838,8904223818980.00,1
2001812838,8904223819031.00,4
2001812650,8904223819031.00,4
2001812650,8904223819017.00,1
2001812195,8904223818706.00,1
2001812195,8904223818942.00,1
2001812195,8904223818850.00,1
2001811809,8904223818706.00,1
2001811809,8904223818942.00,1
2001811809,8904223818850.00,1
2001811604,8904223816214.00,1
2001811604,8904223818669.00,2
2001811604,8904223818683.00,1
2001811475,8904223818706.00,1
2001811475,8904223818669.00,1
2001811475,8904223819499.00,1
2001811475,8904223819031.00,1
2001811466,8904223818706.00,1
2001811466,8904223818850.00,1
2001811466,8904223819468.00,1
2001811363,8904223815859.00,1
2001811363,8904223818751.00,1
2001811363,8904223815873.00,1
2001811363,8904223815859.00,1
2001811306,8904223819352.00,1
2001811306,8904223819543.00,1
2001811306,8904223819147.00,1
2001811306,8904223819468.00,1
2001811305,8904223816214.00,1
2001811305,8904223819499.00,1
2001811305,8904223819505.00,1
2001811305,8904223819512.00,1
2001811229,8904223819468.00,1
2001811229,8904223819345.00,1
2001811229,8904223818874.00,1
2001811192,8904223816214.00,1
2001811192,8904223818874.00,1
2001811192,8904223818881.00,1
2001811192,8904223819291.00,2
2001811192,8904223819031.00,2
2001811192,8904223819024.00,2
2001811153,8904223818706.00,1
2001811153,8904223818850.00,1
2001811153,8904223819468.00,1
2001811058,8904223818706.00,1
2001811058,8904223818942.00,1
2001811058,8904223818850.00,1
2001811039,8904223818706.00,1
2001811039,8904223818683.00,1
2001811039,8904223818850.00,1
2001810697,8904223818706.00,1
2001810697,8904223818850.00,1
2001810697,8904223819468.00,1
2001810549,8904223819468.00,1
2001810549,8904223818454.00,1
2001810549,8904223818669.00,1
2001810549,8904223818638.00,2
2001810281,8904223818706.00,1
2001810281,8904223818942.00,1
2001810281,8904223818850.00,1
2001810125,8904223818706.00,1
2001810125,8904223818942.00,1
2001810125,8904223818850.00,1
2001810104,8904223818850.00,1
2001810104,8904223818683.00,1
2001810104,8904223819468.00,1
2001809934,8904223818850.00,1
2001809934,8904223818683.00,1
2001809917,8904223819499.00,1
2001809917,8904223819505.00,1
2001809917,8904223819512.00,1
2001809820,8904223819277.00,1
2001809820,8904223818478.00,1
2001809820,8904223819284.00,1
2001809820,8904223819130.00,1
2001809820,8904223819031.00,2
2001809820,8904223819024.00,2
2001809820,8904223816214.00,1
2001809820,8904223818874.00,1
2001809820,8904223818881.00,1
2001809820,8904223818898.00,1
2001809820,8904223818706.00,1
2001809820,8904223818942.00,1
2001809820,8904223818850.00,1
2001809820,8904223818454.00,1
2001809794,8904223819284.00,1
2001809794,8904223819352.00,1
2001809794,8904223818935.00,1
2001809794,8904223816214.00,1
2001809794,8904223818454.00,1
2001809794,GIFTBOX202004,1
2001809794,8904223819116.00,1
2001809592,8904223818706.00,1
2001809592,8904223819024.00,8
2001809592,8904223818683.00,2
2001809592,8904223818850.00,1
2001809383,8904223818706.00,1
2001809383,8904223818850.00,1
2001809383,8904223819468.00,1
2001809270,8904223818706.00,1
2001809270,8904223818942.00,1
2001809270,8904223818850.00,1
2001808992,8904223818706.00,1
2001808992,8904223818942.00,1
2001808992,8904223818850.00,1
2001808883,8904223818706.00,1
2001808883,8904223818942.00,1
2001808883,8904223818850.00,1
2001808837,8904223818706.00,1
2001808837,8904223818942.00,1
2001808837,8904223818850.00,1
2001808832,8904223819338.00,1
2001808801,8904223817273.00,2
2001808801,8904223815866.00,2
2001808801,8904223815859.00,1
2001808801,8904223815682.00,1
2001808739,8904223816214.00,1
2001808739,8904223818874.00,1
2001808679,8904223818706.00,1
2001808679,8904223818942.00,1
2001808679,8904223818850.00,1
2001808675,8904223818614.00,1
2001808675,8904223815866.00,1
2001808675,8904223815859.00,1
2001808675,8904223817334.00,1
2001808675,GIFTBOX202001,1
2001808675,8904223819369.00,1
2001808585,8904223818706.00,1
2001808585,8904223818942.00,1
2001808585,8904223818850.00,1
2001808542,8904223819468.00,2
2001808542,8904223818706.00,2
2001808507,8904223818706.00,1
2001808507,8904223818850.00,1
2001808507,8904223819468.00,1
2001808475,8904223818706.00,1
2001808475,8904223818942.00,1
2001808475,8904223818850.00,1
2001808295,8904223819161.00,1
2001808295,8904223819260.00,1
2001808286,8904223818683.00,1
2001808286,8904223819468.00,1
2001808286,8904223818850.00,1
2001808207,8904223818706.00,1
2001808207,8904223818850.00,1
2001808207,8904223819468.00,1
2001808118,8904223815859.00,1
2001808118,8904223817273.00,1
2001808118,8904223818751.00,1
2001808102,8904223819291.00,2
2001808102,8904223819031.00,2
2001808102,8904223819024.00,2
2001808102,8904223819161.00,1
2001808102,8904223819260.00,1
2001808102,8904223819468.00,1
2001807981,8904223818706.00,1
2001807981,8904223818942.00,1
2001807981,8904223818850.00,1
2001807976,8904223819468.00,1
2001807976,8904223818669.00,1
2001807976,8904223818683.00,1
2001807976,8904223818713.00,1
2001807970,8904223819321.00,1
2001807970,8904223818430.00,1
2001807960,8904223818669.00,1
2001807960,8904223819147.00,1
2001807960,8904223818850.00,1
2001807960,8904223819505.00,1
2001807956,8904223818706.00,1
2001807956,8904223818942.00,1
2001807956,8904223818850.00,1
2001807956,8904223819246.00,2
2001807931,8904223818706.00,1
2001807931,8904223818850.00,1
2001807931,8904223819468.00,1
2001807930,8904223819468.00,1
2001807852,8904223818706.00,1
2001807852,8904223818942.00,1
2001807852,8904223818850.00,1
2001807814,8904223818706.00,1
2001807814,8904223818850.00,1
2001807814,8904223819468.00,1
2001807785,8904223818706.00,1
2001807785,8904223818942.00,1
2001807785,8904223818850.00,1
2001807613,8904223819147.00,1
2001807613,8904223819468.00,1
2001807613,8904223819277.00,1
2001807415,8904223818850.00,2
2001807415,8904223818713.00,1
2001807415,8904223819024.00,4
2001807362,8904223819031.00,6
2001807362,8904223819024.00,6
2001807362,8904223819291.00,2
2001807362,8904223819031.00,2
2001807362,8904223819024.00,2
2001807329,8904223818706.00,1
2001807329,8904223818942.00,1
2001807329,8904223818850.00,1
2001807328,8904223818997.00,1
2001807290,8904223818706.00,1
2001807290,8904223818942.00,1
2001807290,8904223818850.00,1
2001807241,8904223818706.00,1
2001807241,8904223818850.00,1
2001807241,8904223819468.00,1
2001807186,8904223818706.00,1
2001807186,8904223818942.00,1
2001807186,8904223818850.00,1
2001807084,8904223818706.00,1
2001807084,8904223818942.00,1
2001807084,8904223818850.00,1
2001807058,8904223819239.00,1
2001807058,8904223819246.00,1
2001807058,8904223819253.00,1
2001807058,8904223818713.00,1
2001807058,8904223817273.00,1
2001807058,8904223818751.00,1
2001807036,8904223819291.00,4
2001807036,8904223819031.00,4
2001807036,8904223819024.00,4
2001807036,8904223819017.00,1
2001807012,8904223819468.00,1
2001807004,8904223818706.00,1
2001807004,8904223818942.00,1
2001807004,8904223818850.00,1
2001806968,8904223818706.00,1
2001806968,8904223818942.00,1
2001806968,8904223818850.00,1
2001806885,8904223819499.00,2
2001806885,8904223819499.00,2
2001806828,8904223818706.00,1
2001806828,8904223818942.00,1
2001806828,8904223818850.00,1
2001806823,8904223818706.00,1
2001806801,8904223818850.00,1
2001806801,8904223818683.00,1
2001806776,8904223818706.00,1
2001806776,8904223818638.00,2
2001806776,8904223819505.00,1
2001806768,8904223819512.00,4
2001806735,8904223818706.00,1
2001806735,8904223818942.00,1
2001806735,8904223818850.00,1
2001806733,8904223819031.00,1
2001806733,8904223818430.00,1
2001806733,8904223818850.00,1
2001806733,8904223819512.00,1
2001806733,8904223819468.00,1
2001806726,8904223818706.00,1
2001806726,8904223818942.00,1
2001806726,8904223818850.00,1
2001806686,8904223819468.00,1
2001806652,8904223818706.00,1
2001806652,8904223818942.00,1
2001806652,8904223818850.00,1
2001806616,8904223818669.00,1
2001806616,8904223818683.00,1
2001806616,8904223818935.00,1
2001806616,8904223818713.00,1
2001806616,8904223819024.00,1
2001806616,8904223819123.00,1
2001806575,8904223818706.00,1
2001806575,8904223818942.00,1
2001806575,8904223818850.00,1
2001806567,8904223818591.00,1
2001806567,8904223816214.00,1
2001806567,8904223819024.00,1
2001806567,8904223819253.00,1
2001806567,8904223815804.00,1
2001806567,8904223818577.00,1
2001806547,8904223818706.00,1
2001806533,8904223818706.00,1
2001806533,8904223818942.00,1
2001806533,8904223818850.00,1
2001806471,8904223818706.00,2
2001806471,8904223818942.00,2
2001806471,8904223818850.00,2
2001806471,8904223818706.00,1
2001806471,8904223818942.00,1
2001806471,8904223818850.00,1
2001806471,8904223818683.00,1
2001806458,8904223819284.00,1
2001806458,8904223818478.00,1
2001806446,8904223818706.00,1
2001806446,8904223818942.00,1
2001806446,8904223818850.00,1
2001806408,8904223819437.00,2
2001806408,8904223819352.00,1
2001806408,8904223819024.00,8
2001806408,8904223818874.00,1
2001806338,8904223818706.00,1
2001806338,8904223818942.00,1
2001806338,8904223818850.00,1
2001806304,8904223818706.00,1
2001806304,8904223818942.00,1
2001806304,8904223818850.00,1
2001806273,8904223819017.00,1
2001806273,8904223818706.00,1
2001806273,8904223818942.00,1
2001806273,8904223818850.00,1
2001806251,8904223819161.00,1
2001806251,8904223819260.00,1
